date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2021-08-24,0,1,0,1,0,0,0,2,,,,33.33%,347,7
2021-09-22,0,1,0,1,0,0,0,2,,,,33.33%,347,7
2021-10-21,0,1,0,1,0,0,0,2,,,,33.33%,347,7
2021-11-22,0,1,0,1,0,0,0,2,,,,33.33%,347,7
2022-01-04,0,1,0,1,0,0,0,2,,,,33.33%,347,7
2022-02-02,0,1,0,1,0,0,0,2,,,,33.33%,347,7
2022-03-03,0,1,0,1,0,0,0,2,,,,33.33%,347,7
2022-04-03,0,1,0,1,0,0,0,2,,,,32.52%,350,7
2022-05-03,0,1,0,1,0,0,0,2,,,,32.52%,350,7
2022-06-01,0,1,0,1,0,0,0,2,,,,32.52%,350,7
2022-07-16,0,1,0,1,0,0,0,2,,,,32.52%,350,7
2022-08-16,0,1,0,1,0,0,0,2,,,,32.52%,350,7
2022-09-16,0,1,0,1,0,0,0,2,,,,32.52%,350,7
2022-10-15,0,1,0,1,0,0,0,2,,,,32.52%,350,7
2022-11-15,0,1,0,1,0,0,0,2,,,,32.52%,350,7
2022-12-14,0,1,0,1,0,0,0,2,,,,35.23%,352,7
2023-01-13,0,1,0,1,0,0,0,2,,,,35.23%,352,7
2023-02-11,0,1,0,1,0,0,0,2,,,,35.23%,352,7
2023-03-14,0,1,0,1,0,0,0,2,,,,35.23%,352,7
2023-04-12,0,1,0,1,0,0,0,2,,,,35.23%,352,7
